FY 2025 IPPS/LTCH PPS Final Rule: Hospital Readmissions Reduction Program Supplemental Data            ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospital CNN,  Payment adjustment factor ,Payment reduction percentage,Dual proportion,Peer group assignment,Neutrality modifier ,Number of eligible discharges for AMI,ERR for AMI,Peer group median ERR for AMI,Penalty indicator for AMI,DRG payment ratio for AMI,Number of eligible discharges for COPD,ERR for COPD,Peer group median ERR for COPD,Penalty indicator for COPD,DRG payment ratio for COPD,Number of eligible discharges for HF,ERR for HF,Peer group median ERR for HF,Penalty indicator for HF,DRG payment ratio for HF,Number of eligible discharges for pneumonia,ERR for pneumonia,Peer group median ERR for pneumonia,Penalty indicator for pneumonia,DRG payment ratio for pneumonia,Number of eligible discharges for CABG,ERR for CABG,Peer group median ERR for CABG,Penalty indicator for CABG,DRG payment ratio for CABG,Number of eligible discharges for THA/TKA,ERR for THA/TKA,Peer group median ERR for THA/TKA,Penalty indicator for THA/TKA,DRG payment ratio for THA/TKA,
390329,0.9917,0.83%,0.1823,2,0.9652,153,1.0148,0.9956,Y,0.0225,145,1.0136,0.9942,Y,0.0110,520,1.0899,0.9875,Y,0.0470,264,1.0462,0.9895,Y,0.0259,56,1.0523,0.9966,Y,0.0171,71,1.0729,0.9888,Y,0.0087,
390330,0.9914,0.86%,0.2061,3,0.9652,66,1.0058,0.9958,Y,0.0115,137,1.1850,0.9924,Y,0.0128,466,1.0980,0.9955,Y,0.0531,249,0.9961,0.9912,Y,0.0352,,,0.9943,N,,31,1.1408,0.9963,Y,0.0052,
390332,0.9961,0.39%,0.2244,3,0.9652,4,1.0104,0.9958,N,0.0009,48,0.9891,0.9924,N,0.0102,286,1.0009,0.9955,Y,0.0664,157,1.0686,0.9912,Y,0.0476,,,0.9943,N,,6,0.9776,0.9963,N,0.0020,
390333,1.0000,0.00%,0.1373,1,0.9652,,,0.9957,N,,8,0.9834,0.9940,N,0.0253,5,0.9998,0.9947,N,0.0177,23,1.0170,0.9944,N,0.0937,,,0.9982,N,,,,0.9913,N,,
390334,0.9993,0.07%,0.0781,1,0.9652,25,0.9625,0.9957,N,0.0179,7,0.9926,0.9940,N,0.0030,77,1.0120,0.9947,Y,0.0435,89,0.9670,0.9944,N,0.0593,,,0.9982,N,,5,1.0616,0.9913,N,0.0044,
390335,0.9945,0.55%,0.1770,2,0.9652,4,1.0289,0.9956,N,0.0014,46,1.0629,0.9942,Y,0.0162,130,0.9727,0.9875,N,0.0499,100,1.0071,0.9895,Y,0.0491,,,0.9966,N,,39,1.1436,0.9888,Y,0.0241,
390336,0.9966,0.34%,0.1369,1,0.9652,3,1.0103,0.9957,N,0.0028,17,1.0387,0.9940,N,0.0158,50,1.0409,0.9947,Y,0.0450,58,1.0192,0.9944,Y,0.0594,,,0.9982,N,,9,0.9666,0.9913,N,0.0148,
390337,1.0000,0.00%,0.1948,3,0.9652,,,0.9958,N,,10,0.9883,0.9924,N,0.0248,17,0.9902,0.9955,N,0.0441,20,0.9910,0.9912,N,0.0517,,,0.9943,N,,,,0.9963,N,,
390338,1.0000,0.00%,0.1765,2,0.9652,,,0.9956,N,,8,0.9979,0.9942,N,0.0066,12,0.9813,0.9875,N,0.0131,22,0.9746,0.9895,N,0.0232,,,0.9966,N,,72,0.9564,0.9888,N,0.1301,
390339,0.9987,0.13%,0.1117,1,0.9652,11,1.0100,0.9957,N,0.0202,7,0.9957,0.9940,N,0.0089,33,1.0212,0.9947,Y,0.0502,20,1.0041,0.9944,N,0.0343,,,0.9982,N,,3,0.9898,0.9913,N,0.0068,
410004,1.0000,0.00%,0.4222,5,0.9652,6,1.0037,1.0014,N,0.0013,49,0.9796,1.0059,N,0.0121,114,0.9786,1.0188,N,0.0324,110,0.9129,1.0110,N,0.0355,,,1.0032,N,,5,0.9664,0.9925,N,0.0024,
410005,1.0000,0.00%,0.2934,4,0.9652,23,0.9865,0.9972,N,0.0050,45,0.9911,0.9969,N,0.0128,152,0.9510,1.0032,N,0.0461,121,0.9673,1.0002,N,0.0521,,,1.0061,N,,16,1.0123,0.9901,N,0.0072,
410006,1.0000,0.00%,0.2057,3,0.9652,8,0.9761,0.9958,N,0.0018,78,0.9524,0.9924,N,0.0169,231,0.9500,0.9955,N,0.0586,154,0.9857,0.9912,N,0.0431,,,0.9943,N,,42,0.9206,0.9963,N,0.0169,
410007,0.9979,0.21%,0.2826,4,0.9652,333,1.0687,0.9972,Y,0.0221,116,0.9721,0.9969,N,0.0036,669,1.0127,1.0032,Y,0.0234,346,1.0317,1.0002,Y,0.0128,143,0.9346,1.0061,N,0.0160,30,0.9457,0.9901,N,0.0013,
410008,0.9951,0.49%,0.0974,1,0.9652,25,0.9791,0.9957,N,0.0031,108,0.9905,0.9940,N,0.0110,294,1.0298,0.9947,Y,0.0395,224,1.0284,0.9944,Y,0.0315,,,0.9982,N,,727,1.0094,0.9913,Y,0.1455,
410009,0.9925,0.75%,0.2534,4,0.9652,185,1.1604,0.9972,Y,0.0250,224,1.2048,0.9969,Y,0.0180,609,0.9817,1.0032,N,0.0614,379,0.9100,1.0002,N,0.0402,,,1.0061,N,,30,0.8987,0.9901,N,0.0041,
410011,0.9925,0.75%,0.2878,4,0.9652,90,1.0668,0.9972,Y,0.0300,50,1.0779,0.9969,Y,0.0110,198,1.0424,1.0032,Y,0.0464,183,1.0515,1.0002,Y,0.0586,,,1.0061,N,,,,0.9901,N,,
410012,0.9989,0.11%,0.2462,4,0.9652,298,1.0108,0.9972,Y,0.0272,155,1.1127,0.9969,Y,0.0071,878,0.9293,1.0032,N,0.0526,447,0.9413,1.0002,N,0.0282,,,1.0061,N,,376,0.8330,0.9901,N,0.0317,
410013,0.9999,0.01%,0.1372,1,0.9652,9,1.0077,0.9957,N,0.0025,45,0.9989,0.9940,Y,0.0118,236,0.9398,0.9947,N,0.0618,195,0.9264,0.9944,N,0.0611,,,0.9982,N,,11,0.9608,0.9913,N,0.0045,
420002,0.9975,0.25%,0.2302,3,0.9652,290,1.0407,0.9958,Y,0.0410,106,1.0467,0.9924,Y,0.0065,577,1.0033,0.9955,Y,0.0442,478,0.9731,0.9912,N,0.0408,101,0.9638,0.9943,N,0.0290,52,0.9298,0.9963,N,0.0055,
420004,0.9983,0.17%,0.2430,4,0.9652,328,1.0151,0.9972,Y,0.0159,144,1.0535,0.9969,Y,0.0040,580,0.9887,1.0032,N,0.0158,333,0.9909,1.0002,N,0.0082,179,1.0682,1.0061,Y,0.0145,121,1.0814,0.9901,Y,0.0036,
420005,0.9947,0.53%,0.4238,5,0.9652,1,0.9979,1.0014,N,0.0004,31,0.9734,1.0059,N,0.0173,69,1.0438,1.0188,Y,0.0438,122,1.0654,1.0110,Y,0.0812,,,1.0032,N,,1,0.9910,0.9925,N,0.0014,
420007,0.9968,0.32%,0.2413,3,0.9652,505,0.9100,0.9958,N,0.0319,283,0.9614,0.9924,N,0.0081,818,1.0388,0.9955,Y,0.0257,796,0.9388,0.9912,N,0.0238,195,1.0842,0.9943,Y,0.0248,76,0.9891,0.9963,N,0.0034,
420009,0.9959,0.41%,0.2029,3,0.9652,29,0.9744,0.9958,N,0.0034,112,1.0829,0.9924,Y,0.0141,277,1.0123,0.9955,Y,0.0358,386,1.0112,0.9912,Y,0.0579,,,0.9943,N,,46,1.1196,0.9963,Y,0.0095,
420010,0.9922,0.78%,0.3750,5,0.9652,18,0.9683,1.0014,N,0.0041,41,1.0731,1.0059,Y,0.0096,104,1.0891,1.0188,Y,0.0290,242,1.0816,1.0110,Y,0.0770,,,1.0032,N,,13,0.9665,0.9925,N,0.0047,
420011,1.0000,0.00%,0.2703,4,0.9652,2,0.9966,0.9972,N,0.0036,11,0.9753,0.9969,N,0.0173,18,0.9600,1.0032,N,0.0294,60,0.9539,1.0002,N,0.1088,,,1.0061,N,,14,0.9711,0.9901,N,0.0408,
420015,0.9998,0.02%,0.2719,4,0.9652,7,1.0070,0.9972,N,0.0020,47,1.0179,0.9969,Y,0.0118,164,0.9947,1.0032,N,0.0410,212,0.9295,1.0002,N,0.0679,,,1.0061,N,,,,0.9901,N,,
420018,0.9999,0.01%,0.2895,4,0.9652,419,0.9795,0.9972,N,0.0304,64,0.9948,0.9969,N,0.0027,791,0.9896,1.0032,N,0.0345,291,1.0070,1.0002,Y,0.0150,166,1.0025,1.0061,N,0.0253,11,0.9688,0.9901,N,0.0005,
420019,0.9991,0.09%,0.3146,4,0.9652,2,0.9953,0.9972,N,0.0036,18,1.0000,0.9969,N,0.0209,10,1.0149,1.0032,N,0.0126,36,1.0167,1.0002,Y,0.0570,,,1.0061,N,,12,1.0357,0.9901,N,0.0279,
420020,0.9928,0.72%,0.2782,4,0.9652,156,1.0599,0.9972,Y,0.0524,41,1.0096,0.9969,Y,0.0097,148,1.0726,1.0032,Y,0.0378,140,1.0330,1.0002,Y,0.0428,,,1.0061,N,,4,0.9862,0.9901,N,0.0013,
420023,0.9993,0.07%,0.1589,2,0.9652,196,0.9542,0.9956,N,0.0195,164,0.9212,0.9942,N,0.0068,663,1.0120,0.9875,Y,0.0307,598,0.9117,0.9895,N,0.0336,134,0.9953,0.9966,N,0.0208,590,0.9569,0.9888,N,0.0372,
420026,0.9988,0.12%,0.2014,3,0.9652,324,0.9450,0.9958,N,0.0494,85,0.8923,0.9924,N,0.0085,445,0.9439,0.9955,N,0.0479,226,1.0435,0.9912,Y,0.0239,184,0.9486,0.9943,N,0.0603,188,0.7601,0.9963,N,0.0239,
420027,0.9988,0.12%,0.2498,4,0.9652,174,0.9857,0.9972,N,0.0155,221,0.9410,0.9969,N,0.0116,659,0.9262,1.0032,N,0.0377,756,1.0263,1.0002,Y,0.0463,51,0.9620,1.0061,N,0.0102,12,1.0318,0.9901,N,0.0009,
420030,0.9940,0.60%,0.3622,5,0.9652,2,0.9931,1.0014,N,0.0005,41,1.0137,1.0059,Y,0.0197,116,1.0964,1.0188,Y,0.0368,119,0.9931,1.0110,N,0.0573,,,1.0032,N,,32,1.1894,0.9925,Y,0.0163,
420033,1.0000,0.00%,0.1848,2,0.9652,7,0.9805,0.9956,N,0.0008,37,0.9723,0.9942,N,0.0094,205,0.9639,0.9875,N,0.0485,158,0.9371,0.9895,N,0.0449,,,0.9966,N,,5,1.0662,0.9888,N,0.0018,
420036,0.9988,0.12%,0.2978,4,0.9652,24,0.9972,0.9972,N,0.0046,114,0.9870,0.9969,N,0.0274,130,1.0462,1.0032,Y,0.0279,123,0.9941,1.0002,N,0.0338,,,1.0061,N,,12,0.9586,0.9901,N,0.0042,
420037,0.9994,0.06%,0.1825,2,0.9652,1,0.9973,0.9956,N,,32,0.9694,0.9942,N,0.0107,114,1.0028,0.9875,Y,0.0423,113,0.9228,0.9895,N,0.0512,,,0.9966,N,,,,0.9888,N,,
420038,0.9975,0.25%,0.2767,4,0.9652,11,0.9670,0.9972,N,0.0029,52,1.0462,0.9969,Y,0.0154,161,0.9782,1.0032,N,0.0514,164,1.0280,1.0002,Y,0.0657,,,1.0061,N,,,,0.9901,N,,
420043,0.9968,0.32%,0.2902,4,0.9652,1,0.9964,0.9972,N,0.0011,28,0.9818,0.9969,N,0.0198,27,0.9935,1.0032,N,0.0234,75,1.0504,1.0002,Y,0.0666,,,1.0061,N,,,,0.9901,N,,
420048,0.9999,0.01%,0.2569,4,0.9652,5,1.0200,0.9972,N,0.0012,66,1.0041,0.9969,Y,0.0153,137,0.9445,1.0032,N,0.0348,140,0.8997,1.0002,N,0.0431,,,1.0061,N,,88,0.9719,0.9901,N,0.0342,
420049,0.9950,0.50%,0.2209,3,0.9652,101,1.0889,0.9958,Y,0.0154,189,1.0040,0.9924,Y,0.0227,270,1.0353,0.9955,Y,0.0299,252,1.0585,0.9912,Y,0.0340,,,0.9943,N,,41,0.9985,0.9963,Y,0.0068,
420051,0.9895,1.05%,0.3091,4,0.9652,480,1.1025,0.9972,Y,0.0328,268,1.0494,0.9969,Y,0.0090,922,1.1137,1.0032,Y,0.0320,764,1.0017,1.0002,Y,0.0279,206,1.1234,1.0061,Y,0.0287,43,0.9400,0.9901,N,0.0021,
420053,0.9999,0.01%,0.1534,2,0.9652,3,1.0096,0.9956,N,0.0012,17,1.0228,0.9942,N,0.0054,48,0.9973,0.9875,Y,0.0156,80,0.9615,0.9895,N,0.0306,,,0.9966,N,,410,0.7783,0.9888,N,0.2227,
420055,0.9987,0.13%,0.4424,5,0.9652,7,1.0016,1.0014,N,0.0022,33,0.9974,1.0059,N,0.0157,82,1.0291,1.0188,Y,0.0438,85,1.0262,1.0110,Y,0.0608,,,1.0032,N,,2,0.9956,0.9925,N,0.0017,
420065,0.9989,0.11%,0.1559,2,0.9652,3,1.0104,0.9956,N,0.0004,90,0.9601,0.9942,N,0.0085,262,1.0305,0.9875,Y,0.0273,276,0.9859,0.9895,N,0.0357,,,0.9966,N,,,,0.9888,N,,
420067,0.9957,0.43%,0.2050,3,0.9652,88,1.0989,0.9958,Y,0.0153,133,1.0087,0.9924,Y,0.0121,256,1.0382,0.9955,Y,0.0286,251,1.0351,0.9912,Y,0.0324,,,0.9943,N,,40,0.8688,0.9963,N,0.0067,
420070,0.9988,0.12%,0.3688,5,0.9652,26,1.0364,1.0014,Y,0.0027,109,0.9673,1.0059,N,0.0119,368,0.9504,1.0188,N,0.0470,199,1.0479,1.0110,Y,0.0312,,,1.0032,N,,19,0.9241,0.9925,N,0.0041,
420071,0.9977,0.23%,0.2277,3,0.9652,211,0.9540,0.9958,N,0.0329,125,0.9303,0.9924,N,0.0092,388,0.9770,0.9955,N,0.0326,288,0.9818,0.9912,N,0.0282,79,0.9666,0.9943,N,0.0259,99,1.1965,0.9963,Y,0.0118,
420072,1.0000,0.00%,0.3664,5,0.9652,1,0.9972,1.0014,N,,14,0.9792,1.0059,N,0.0180,30,1.0085,1.0188,N,0.0437,49,0.9387,1.0110,N,0.0765,,,1.0032,N,,1,0.9955,0.9925,N,0.0024,
420073,0.9960,0.40%,0.1882,2,0.9652,372,1.0385,0.9956,Y,0.0202,312,1.1131,0.9942,Y,0.0076,"1,246",0.9548,0.9875,N,0.0382,957,1.0220,0.9895,Y,0.0312,208,1.0514,0.9966,Y,0.0198,32,1.1726,0.9888,Y,0.0014,
420078,0.9942,0.58%,0.2328,3,0.9652,506,1.0361,0.9958,Y,0.0291,122,1.0018,0.9924,Y,0.0038,745,1.0027,0.9955,Y,0.0225,462,0.9161,0.9912,N,0.0154,224,1.1807,0.9943,Y,0.0247,2,0.9901,0.9963,N,0.0001,
420079,0.9925,0.75%,0.2279,3,0.9652,422,1.0844,0.9958,Y,0.0287,194,0.9592,0.9924,N,0.0075,797,1.0725,0.9955,Y,0.0389,516,0.9386,0.9912,N,0.0255,93,0.9761,0.9943,N,0.0144,100,1.4003,0.9963,Y,0.0055,
420080,0.9916,0.84%,0.0483,1,0.9652,212,1.0366,0.9957,Y,0.0399,45,1.0629,0.9940,Y,0.0038,435,1.0829,0.9947,Y,0.0444,484,1.0364,0.9944,Y,0.0576,48,1.0044,0.9982,Y,0.0191,42,1.0528,0.9913,Y,0.0063,
420082,0.9954,0.46%,0.2655,4,0.9652,109,0.9035,0.9972,N,0.0221,95,0.9713,0.9969,N,0.0089,383,1.0390,1.0032,Y,0.0401,233,0.9660,1.0002,N,0.0298,28,1.1219,1.0061,Y,0.0135,29,1.3843,0.9901,Y,0.0046,
420085,0.9967,0.33%,0.1183,1,0.9652,564,0.8907,0.9957,N,0.0359,187,0.9762,0.9940,N,0.0059,982,1.0467,0.9947,Y,0.0353,807,1.0420,0.9944,Y,0.0330,242,0.9431,0.9982,N,0.0263,100,0.9259,0.9913,N,0.0046,
420086,0.9997,0.03%,0.2735,4,0.9652,8,1.0130,0.9972,N,0.0009,56,0.9857,0.9969,N,0.0057,117,0.9450,1.0032,N,0.0134,172,1.0110,1.0002,Y,0.0269,,,1.0061,N,,294,0.8637,0.9901,N,0.0490,
420087,0.9973,0.27%,0.1578,2,0.9652,337,0.9334,0.9956,N,0.0302,89,1.0057,0.9942,Y,0.0036,783,0.9949,0.9875,Y,0.0416,328,0.9328,0.9895,N,0.0189,224,0.9899,0.9966,N,0.0375,242,1.1339,0.9888,Y,0.0167,
420089,0.9975,0.25%,0.0996,1,0.9652,4,1.0218,0.9957,N,0.0008,25,0.9724,0.9940,N,0.0037,69,0.9814,0.9947,N,0.0114,120,0.9719,0.9944,N,0.0248,,,0.9982,N,,133,1.0625,0.9913,Y,0.0370,
420091,0.9969,0.31%,0.3408,5,0.9652,185,0.9891,1.0014,N,0.0237,153,0.9539,1.0059,N,0.0128,377,1.0379,1.0188,Y,0.0335,340,1.0814,1.0110,Y,0.0364,31,0.9738,1.0032,N,0.0124,1,0.9932,0.9925,N,0.0001,
420098,0.9954,0.46%,0.0812,1,0.9652,51,1.0162,0.9957,Y,0.0041,163,0.9598,0.9940,N,0.0150,352,0.9877,0.9947,N,0.0367,383,0.9421,0.9944,N,0.0468,,,0.9982,N,,117,1.2603,0.9913,Y,0.0175,
420101,1.0000,0.00%,0.1328,1,0.9652,4,1.0243,0.9957,N,0.0012,34,0.9691,0.9940,N,0.0112,120,0.9723,0.9947,N,0.0366,184,0.9362,0.9944,N,0.0707,,,0.9982,N,,2,0.9960,0.9913,N,0.0010,
420102,1.0000,0.00%,0.1067,1,0.9652,,,0.9957,N,,,,0.9940,N,,,,0.9947,N,,1,0.9981,0.9944,N,0.0012,,,0.9982,N,,111,0.8057,0.9913,N,0.1973,
420103,0.9990,0.10%,0.1479,1,0.9652,5,1.0078,0.9957,N,0.0013,35,0.9746,0.9940,N,0.0077,97,1.0347,0.9947,Y,0.0249,139,0.9671,0.9944,N,0.0340,,,0.9982,N,,15,1.0061,0.9913,N,0.0062,
420104,0.9926,0.74%,0.0852,1,0.9652,,,0.9957,N,,32,0.9992,0.9940,Y,0.0067,146,1.0020,0.9947,Y,0.0359,145,0.9964,0.9944,Y,0.0444,,,0.9982,N,,118,1.1427,0.9913,Y,0.0479,
420105,0.9992,0.08%,0.1561,2,0.9652,62,0.9273,0.9956,N,0.0049,148,0.9724,0.9942,N,0.0099,554,0.9937,0.9875,Y,0.0461,567,0.9748,0.9895,N,0.0563,,,0.9966,N,,44,1.1024,0.9888,Y,0.0051,
420106,0.9999,0.01%,0.1889,2,0.9652,3,1.0130,0.9956,N,0.0008,51,0.9963,0.9942,Y,0.0090,170,0.9848,0.9875,N,0.0332,187,0.9908,0.9895,Y,0.0433,,,0.9966,N,,32,0.9780,0.9888,N,0.0099,
420107,0.9899,1.01%,0.3712,5,0.9652,6,1.0162,1.0014,N,0.0027,53,0.9266,1.0059,N,0.0190,75,1.0525,1.0188,Y,0.0303,175,1.1205,1.0110,Y,0.0864,,,1.0032,N,,,,0.9925,N,,
420108,1.0000,0.00%,0.3103,4,0.9652,,,0.9972,N,,20,0.9802,0.9969,N,0.0387,16,0.9902,1.0032,N,0.0346,32,0.9839,1.0002,N,0.0613,,,1.0061,N,,,,0.9901,N,,
420109,0.9984,0.16%,0.3412,5,0.9652,2,0.9934,1.0014,N,0.0012,33,1.0199,1.0059,Y,0.0194,56,0.9863,1.0188,N,0.0345,84,1.0326,1.0110,Y,0.0635,,,1.0032,N,,6,0.9773,0.9925,N,0.0057,
420110,0.9991,0.09%,0.1721,2,0.9652,2,0.9946,0.9956,N,0.0008,57,1.0007,0.9942,Y,0.0195,156,1.0031,0.9875,Y,0.0542,111,0.9828,0.9895,N,0.0481,,,0.9966,N,,33,0.9610,0.9888,N,0.0177,
430005,0.9992,0.08%,0.1286,1,0.9652,43,1.0237,0.9957,Y,0.0143,33,1.0080,0.9940,Y,0.0071,73,0.9929,0.9947,N,0.0174,79,1.0101,0.9944,Y,0.0194,,,0.9982,N,,179,0.8598,0.9913,N,0.0620,
430008,1.0000,0.00%,0.1257,1,0.9652,1,0.9954,0.9957,N,0.0004,23,0.9741,0.9940,N,0.0108,63,0.9940,0.9947,N,0.0374,77,0.9211,0.9944,N,0.0486,,,0.9982,N,,62,0.8487,0.9913,N,0.0555,
430012,1.0000,0.00%,0.1487,2,0.9652,9,0.9926,0.9956,N,0.0015,20,0.9777,0.9942,N,0.0037,120,0.9840,0.9875,N,0.0269,134,0.9774,0.9895,N,0.0394,,,0.9966,N,,109,0.8399,0.9888,N,0.0374,
430014,1.0000,0.00%,0.1138,1,0.9652,105,0.9840,0.9957,N,0.0261,46,0.9930,0.9940,N,0.0058,180,0.8620,0.9947,N,0.0308,142,0.9113,0.9944,N,0.0259,,,0.9982,N,,292,0.8097,0.9913,N,0.0611,
430015,1.0000,0.00%,0.1291,1,0.9652,8,0.9871,0.9957,N,0.0030,31,0.9770,0.9940,N,0.0111,52,0.9745,0.9947,N,0.0203,101,0.9681,0.9944,N,0.0490,,,0.9982,N,,75,0.8970,0.9913,N,0.0505,
430016,0.9998,0.02%,0.1759,2,0.9652,42,0.9531,0.9956,N,0.0013,169,0.9533,0.9942,N,0.0068,386,0.9194,0.9875,N,0.0122,516,0.8600,0.9895,N,0.0209,,,0.9966,N,,417,1.0018,0.9888,Y,0.0193,
430027,0.9995,0.05%,0.1487,2,0.9652,405,0.8553,0.9956,N,0.0238,169,0.9586,0.9942,N,0.0047,717,0.9146,0.9875,N,0.0278,370,0.8928,0.9895,N,0.0122,214,0.9014,0.9966,N,0.0238,53,1.2193,0.9888,Y,0.0024,
430048,0.9991,0.09%,0.1356,1,0.9652,6,0.9825,0.9957,N,0.0035,14,0.9814,0.9940,N,0.0076,37,1.0380,0.9947,Y,0.0215,36,0.9772,0.9944,N,0.0241,,,0.9982,N,,5,0.9880,0.9913,N,0.0055,
430077,0.9998,0.02%,0.1657,2,0.9652,409,0.8860,0.9956,N,0.0324,182,0.9656,0.9942,N,0.0064,586,0.7693,0.9875,N,0.0258,481,0.9527,0.9895,N,0.0232,102,1.0097,0.9966,Y,0.0167,37,0.8299,0.9888,N,0.0022,
430084,1.0000,0.00%,0.4582,5,0.9652,,,1.0014,N,,16,1.0050,1.0059,N,0.0481,7,1.0026,1.0188,N,0.0148,15,0.9877,1.0110,N,0.0481,,,1.0032,N,,,,0.9925,N,,
430089,0.9929,0.71%,0.0667,1,0.9652,,,0.9957,N,,,,0.9940,N,,,,0.9947,N,,,,0.9944,N,,,,0.9982,N,,48,1.2433,0.9913,Y,0.0293,
430090,0.9958,0.42%,0.0412,1,0.9652,,,0.9957,N,,,,0.9940,N,,,,0.9947,N,,,,0.9944,N,,,,0.9982,N,,634,1.0091,0.9913,Y,0.2446,
430091,1.0000,0.00%,0.0249,1,0.9652,,,0.9957,N,,,,0.9940,N,,,,0.9947,N,,,,0.9944,N,,,,0.9982,N,,"1,073",0.6698,0.9913,N,0.3105,
430095,1.0000,0.00%,0.0479,1,0.9652,596,0.8251,0.9957,N,0.1287,7,1.0125,0.9940,N,0.0008,270,0.8353,0.9947,N,0.0360,9,0.9919,0.9944,N,0.0010,245,0.9476,0.9982,N,0.0943,,,0.9913,N,,
430097,0.9997,0.03%,0.1849,2,0.9652,5,1.0073,0.9956,N,0.0039,48,0.9879,0.9942,N,0.0219,72,0.9861,0.9875,N,0.0415,73,0.9982,0.9895,Y,0.0405,,,0.9966,N,,2,0.9946,0.9888,N,0.0019,
430098,1.0000,0.00%,0.3916,5,0.9652,,,1.0014,N,,37,0.9677,1.0059,N,0.0619,23,1.0210,1.0188,N,0.0347,30,0.9816,1.0110,N,0.0526,,,1.0032,N,,,,0.9925,N,,
440001,1.0000,0.00%,0.2754,4,0.9652,,,0.9972,N,,11,0.9838,0.9969,N,0.0256,19,0.9941,1.0032,N,0.0465,46,0.9951,1.0002,N,0.1427,,,1.0061,N,,,,0.9901,N,,
440002,0.9983,0.17%,0.2498,4,0.9652,771,1.0462,0.9972,Y,0.0348,295,1.0067,0.9969,Y,0.0077,"1,339",1.0020,1.0032,N,0.0394,"1,103",0.9659,1.0002,N,0.0383,196,0.9312,1.0061,N,0.0194,21,1.1407,0.9901,N,0.0011,
440003,0.9991,0.09%,0.2063,3,0.9652,51,1.0132,0.9958,Y,0.0094,119,1.0426,0.9924,Y,0.0149,247,0.9748,0.9955,N,0.0408,172,0.9609,0.9912,N,0.0302,,,0.9943,N,,10,0.9727,0.9963,N,0.0032,
440006,0.9958,0.42%,0.2191,3,0.9652,58,1.0252,0.9958,Y,0.0049,84,1.0224,0.9924,Y,0.0058,233,1.1122,0.9955,Y,0.0161,401,1.0478,0.9912,Y,0.0374,1,0.9979,0.9943,N,0.0001,35,0.9599,0.9963,N,0.0036,
440007,0.9979,0.21%,0.2695,4,0.9652,3,1.0148,0.9972,N,0.0028,49,1.0430,0.9969,Y,0.0480,21,0.9910,1.0032,N,0.0215,113,0.9604,1.0002,N,0.1206,,,1.0061,N,,,,0.9901,N,,
440008,1.0000,0.00%,0.2306,3,0.9652,1,0.9969,0.9958,N,0.0009,2,0.9945,0.9924,N,0.0012,2,1.0269,0.9955,N,0.0019,19,1.0349,0.9912,N,0.0163,,,0.9943,N,,,,0.9963,N,,
440009,0.9986,0.14%,0.2136,3,0.9652,24,0.9907,0.9958,N,0.0053,113,0.9557,0.9924,N,0.0166,274,1.0274,0.9955,Y,0.0465,212,0.9809,0.9912,N,0.0411,,,0.9943,N,,95,0.9374,0.9963,N,0.0245,
440010,1.0000,0.00%,0.2538,4,0.9652,1,0.9968,0.9972,N,0.0028,11,0.9871,0.9969,N,0.0171,34,1.0036,1.0032,Y,0.0670,53,0.9771,1.0002,N,0.0972,,,1.0061,N,,,,0.9901,N,,
440011,0.9972,0.28%,0.1392,1,0.9652,135,1.0376,0.9957,Y,0.0222,116,0.9657,0.9940,N,0.0150,275,0.9508,0.9947,N,0.0324,508,1.0213,0.9944,Y,0.0731,,,0.9982,N,,19,1.0595,0.9913,N,0.0036,
440012,0.9887,1.13%,0.1636,2,0.9652,191,1.0106,0.9956,Y,0.0242,124,1.0229,0.9942,Y,0.0087,434,1.2105,0.9875,Y,0.0300,440,1.1098,0.9895,Y,0.0370,111,0.9751,0.9966,N,0.0300,91,0.8921,0.9888,N,0.0090,
440015,0.9988,0.12%,0.1760,2,0.9652,190,1.0155,0.9956,Y,0.0112,190,0.8803,0.9942,N,0.0050,691,0.9714,0.9875,N,0.0235,836,0.9936,0.9895,Y,0.0330,122,1.0393,0.9966,Y,0.0146,62,1.0623,0.9888,Y,0.0029,
440016,0.9984,0.16%,0.2604,4,0.9652,6,1.0245,0.9972,N,0.0046,23,1.0012,0.9969,N,0.0132,61,0.9945,1.0032,N,0.0395,95,1.0202,1.0002,Y,0.0803,,,1.0061,N,,,,0.9901,N,,
440017,0.9998,0.02%,0.1871,2,0.9652,261,0.9935,0.9956,N,0.0262,127,0.9378,0.9942,N,0.0070,394,0.9513,0.9875,N,0.0242,415,0.9240,0.9895,N,0.0322,76,0.9620,0.9966,N,0.0182,57,1.0216,0.9888,Y,0.0050,
440018,0.9800,2.00%,0.2684,4,0.9652,14,0.9534,0.9972,N,0.0059,43,0.9587,0.9969,N,0.0121,71,1.0166,1.0032,Y,0.0272,149,1.1667,1.0002,Y,0.0642,,,1.0061,N,,86,1.1898,0.9901,Y,0.0486,
440020,0.9988,0.12%,0.2398,3,0.9652,2,0.9949,0.9958,N,0.0005,22,0.9878,0.9924,N,0.0137,64,0.9872,0.9955,N,0.0444,97,0.9434,0.9912,N,0.0886,,,0.9943,N,,38,1.0251,0.9963,Y,0.0443,
440029,1.0000,0.00%,0.0672,1,0.9652,149,0.8769,0.9957,N,0.0177,82,0.9490,0.9940,N,0.0068,399,0.8664,0.9947,N,0.0354,399,0.8494,0.9944,N,0.0415,,,0.9982,N,,387,0.9201,0.9913,N,0.0505,
